tid,pid,block,query,n_abs,n_org,n_ddtop,n_native,first_org_abs,plain_top,n_clicks_in_bands,clicks_in_ad_slot
p004-b6-t6,p004,b6,buy starwest botanicals organic alfalfa leaf powder,11,9,0,5,2,0,1,0
p004-b6-t7,p004,b6,buy denso denso 234 3088 oxygen sensor,13,10,1,1,2,0,1,0
p004-b6-t8,p004,b6,buy the adventures of errol flynn dvd,10,9,0,3,0,1,1,0
p004-b6-t9,p004,b6,buy bottle green bottlegreen elderflower cordial 500g,11,10,0,2,0,1,1,0
p005-b1-t1,p005,b1,buy gates gates 20846 upper radiator hose,12,8,1,3,1,0,1,0
p005-b1-t10,p005,b1,buy delphi delphi fg0176 fuel pump module,13,10,1,3,1,0,1,0
p005-b1-t2,p005,b1,buy funko elvis presley aloha bobble head,11,9,1,3,1,0,1,0
p005-b1-t3,p005,b1,buy stabilus stabilus sg406034 hatch lift support,12,10,1,3,1,0,1,0
p005-b1-t4,p005,b1,buy relora relora 250 mg 90 caps,17,14,0,4,2,0,1,0
p005-b1-t5,p005,b1,buy philosophy philosophy microdelivery exfoliating wash 2oz,13,11,1,2,1,0,1,0
p005-b1-t6,p005,b1,buy nanogen nanogen nanofibers cinnamon color,12,9,1,5,2,0,1,0
p005-b1-t7,p005,b1,buy fender fender standard stratocaster pickguard gold,13,10,1,3,1,0,1,0
p005-b1-t8,p005,b1,buy monroe monroe 40046 rear shock absorber,12,9,1,3,1,0,1,0
p005-b1-t9,p005,b1,buy monroe monroe 906980 strut mounting kit,11,8,1,3,1,0,1,0
p005-b2-t1,p005,b2,buy avon anew rejuvenate day revitalizing cream,12,10,1,3,1,0,1,0
p005-b2-t10,p005,b2,buy kevala kevala organic tahini 16 oz,14,10,1,4,2,0,1,0
p005-b2-t2,p005,b2,buy spy spy optic targa mini goggles,12,10,0,3,0,1,1,0
p005-b2-t3,p005,b2,buy aurdo dell inspiron 2200 laptop battery,13,12,1,0,1,0,1,1
p005-b2-t4,p005,b2,buy nebo nebo 5615 redline se flashlight,12,11,0,2,0,1,1,0
p005-b2-t5,p005,b2,buy nikolai kapustin piano music,12,10,1,3,1,0,1,0
p005-b2-t6,p005,b2,buy avon avon glimmersticks eye brow tawny,11,8,1,3,2,0,1,1
p005-b2-t7,p005,b2,buy hollywood beauty hollywood beauty shea oil,12,10,1,2,1,0,1,0
p005-b2-t8,p005,b2,buy fun world costumes ghost pirate costume,12,12,0,1,0,1,1,0
p005-b2-t9,p005,b2,buy naked eyes,11,10,1,0,1,0,1,1
p005-b3-t1,p005,b3,buy biotics research biotics research glucobalance 180caps,12,9,1,3,2,0,1,0
p005-b3-t10,p005,b3,buy gates gates 21714 radiator coolant hose,13,9,1,3,1,0,1,0
p005-b3-t2,p005,b3,buy monroe monroe sc2913 magnum steering damper,12,9,1,3,1,0,1,1
p005-b3-t3,p005,b3,buy cap xtreme nano 600w dimmable ballast,10,9,0,3,0,1,1,0
p005-b3-t4,p005,b3,buy carrera carrera rc red bull buggy,13,11,1,2,2,0,1,1
p005-b3-t5,p005,b3,buy rubis rubis sauro toenail scissors,12,10,1,3,2,0,1,0
p005-b3-t6,p005,b3,buy cadie silver polisher cloths by cadie,11,9,0,3,0,1,1,0
p005-b3-t7,p005,b3,buy toyota genuine 1220450030 pcv valve,12,10,0,3,0,1,1,0
p005-b3-t8,p005,b3,buy versace versace 0ve1195 eyeglasses color 1001,12,9,1,3,1,0,1,0
p005-b3-t9,p005,b3,buy phytospecific phytospecific beauty phytorelaxer 2,12,10,1,3,1,0,1,0
p005-b4-t1,p005,b4,buy francis in the navy vhs,11,10,0,1,0,1,1,0
p005-b4-t10,p005,b4,buy woodland scenics ho black angus cows,11,9,0,2,0,1,1,0
p005-b4-t2,p005,b4,buy brooks brooks pickwick day pack,13,10,1,3,1,0,1,1
p005-b4-t3,p005,b4,buy sta rite omnifilter ow1 filter wrench,10,8,0,3,0,1,1,0
p005-b4-t4,p005,b4,buy powerlung powerlung sport,11,10,0,4,0,1,1,0
p005-b4-t5,p005,b4,buy dayco dayco 89356 automatic tensioner assembly,13,10,0,5,2,0,1,0
p005-b4-t6,p005,b4,buy elenco electronic playground 50 in one,12,10,0,3,0,1,1,0
p005-b4-t7,p005,b4,buy tms montego buffet finish antique white,11,9,1,3,1,0,1,0
p005-b4-t8,p005,b4,buy wix wix 57050 oil filter,11,8,0,3,0,1,1,0
p005-b4-t9,p005,b4,buy serfas rx micro fiber saddle mens,11,11,0,1,0,1,1,0
p005-b5-t1,p005,b5,buy mts mts 1213v alto saxophone case,12,10,1,3,1,0,1,1
p005-b5-t10,p005,b5,buy medline medigrip elasticated tubular bandage 3inx11yd,11,10,1,3,1,0,1,0
p005-b5-t2,p005,b5,buy crabtree evelyn lily eau de toilette,12,10,0,3,0,1,1,0
p005-b5-t3,p005,b5,buy biotene biotene mouthwash 16 fl oz,15,12,1,4,2,0,1,0
p005-b5-t4,p005,b5,buy shimano shimano xtr sl m980 shifters,13,9,1,3,2,0,1,1
p005-b5-t5,p005,b5,buy ngk ngk 2238 spark plug,11,8,0,7,2,0,1,1
p005-b5-t6,p005,b5,buy rosle rosle multi cutter,12,8,1,5,2,0,1,0
p005-b5-t7,p005,b5,buy alessi alessi cactus napkin holder,13,10,1,3,1,0,1,0
p005-b5-t8,p005,b5,buy metolius metolius stainless steel bolt hanger,15,12,0,4,2,0,0,0
p005-b5-t9,p005,b5,buy maya,13,11,1,0,2,0,1,0
p005-b6-t1,p005,b6,buy mattel barbie holiday sparkle barbie doll,12,11,0,3,0,1,1,0
p005-b6-t10,p005,b6,buy papo dragon king red by papo,11,10,0,3,0,1,1,0
p005-b6-t2,p005,b6,buy delphi delphi fg0229 fuel pump module,14,10,1,3,1,0,1,0
p005-b6-t3,p005,b6,buy longacre longacre 50450 tire gauge,11,9,0,3,0,1,1,0
p005-b6-t4,p005,b6,buy alpinestars alpinestars atlas gloves large black,13,13,0,6,0,1,1,0
p005-b6-t5,p005,b6,buy rozge cosmeceutical renew eyebrow oil,11,8,0,3,0,1,1,0
p005-b6-t6,p005,b6,buy delorme south dakota atlas and gazetter,10,9,0,1,0,1,1,0
p005-b6-t7,p005,b6,buy seiko seiko 5 automatic snzg17j1 watch,11,9,0,3,0,1,1,1
p005-b6-t8,p005,b6,buy stabilus stabilus 9485546 trunk hatch shock,11,8,1,3,1,0,1,0
p005-b6-t9,p005,b6,buy david kirschwellness b 12 2 ounces,11,8,1,3,1,0,1,0
p006-b1-t1,p006,b1,buy avon imari body lotion by avon,12,11,0,3,0,1,1,0
p006-b1-t10,p006,b1,buy pure encapsulations hmb plus 180 vegicaps,6,4,0,7,1,0,1,1
p006-b1-t2,p006,b1,buy puigpull corkscrew black puigpull corkscrew black,12,10,1,3,2,0,1,1
p006-b1-t3,p006,b1,buy aci aci 177128 windshield washer pump,12,10,0,7,0,1,1,0
p006-b1-t4,p006,b1,buy now foods astaxanthin 10mg 60 softgels,16,13,1,4,2,0,1,0
p006-b1-t5,p006,b1,buy linksys linksys srw2024 gigabit ethernet switch,12,10,1,4,1,0,1,0
p006-b1-t6,p006,b1,buy starwest botanicals bee pollen granules,11,7,1,3,2,0,1,1
p006-b1-t7,p006,b1,buy hohner 560 20 special 20 harmonica,14,10,1,4,2,0,1,0
p006-b1-t8,p006,b1,buy powersmart replacement power tools battery,12,11,0,3,0,1,1,0
p006-b1-t9,p006,b1,buy black widow door lock accuator,11,9,0,2,0,1,0,0
p006-b2-t1,p006,b2,buy monroe monroe 71818 sensa trac strut,11,8,1,3,1,0,1,1
p006-b2-t10,p006,b2,buy toshiba dk 18 black fax drum,15,10,1,4,3,0,1,0
p006-b2-t2,p006,b2,buy rio lobo vhs,11,9,0,2,0,1,1,0
p006-b2-t3,p006,b2,buy wagner wagner bd126407 premium brake rotor,11,9,0,3,0,1,3,0
p006-b2-t4,p006,b2,buy ty ty beanie baby diego,13,12,0,3,0,1,1,1
p006-b2-t5,p006,b2,buy crabtree evelyn aloe vera traveler,10,9,0,3,0,1,1,0
p006-b2-t6,p006,b2,buy kong kong blue large,13,12,1,0,1,0,3,0
p006-b2-t7,p006,b2,buy twinlab twinlab zinc 50mg 180 caps,12,9,1,3,2,0,1,0
p006-b2-t8,p006,b2,buy bosal bosal 099 852 catalytic converter,12,9,0,7,0,1,1,0
p006-b2-t9,p006,b2,buy gates gates 21405 lower radiator hose,12,8,1,3,1,0,1,0
p006-b3-t1,p006,b3,buy yasutomo yasutomo niji waterbrush small,12,11,0,1,0,1,1,0
p006-b3-t10,p006,b3,buy gibraltar bongo stand w elliptical legs,13,11,1,0,2,0,1,0
p006-b3-t2,p006,b3,buy loftus brown curly mens wig,12,8,1,4,2,0,1,1
p006-b3-t3,p006,b3,buy shimano shimano a530 spd pedals,13,10,1,4,2,0,1,1
p006-b3-t4,p006,b3,buy gates gates t306 timing belt,12,10,1,3,1,0,1,0
p006-b3-t5,p006,b3,buy serengeti serengeti cielo sunglasses,13,10,1,3,1,0,1,1
p006-b3-t6,p006,b3,buy pure encapsulations lysine c plus 120c,15,11,0,6,2,0,1,1
p006-b3-t7,p006,b3,buy show chrome side covers vtx1300,11,11,0,1,0,1,1,0
p006-b3-t8,p006,b3,buy acdelco acdelco 177 861 rotor assembly,11,8,0,3,0,1,1,0
p006-b3-t9,p006,b3,buy natures sunshine probiotic eleven 90 caps,10,8,0,3,0,1,1,0
p006-b4-t1,p006,b4,buy fram fram oil filter standard ph6018,11,8,0,7,1,0,1,0
p006-b4-t10,p006,b4,buy emerita emerita personal moisturizer 4 oz,14,11,1,2,1,0,1,0
p006-b4-t2,p006,b4,buy denso denso 221 3305 radiator,12,12,0,7,0,1,1,0
p006-b4-t3,p006,b4,buy morgan cycle 30 in star trike,13,11,1,2,2,0,1,0
p006-b4-t4,p006,b4,buy alvin four piece french curve set,12,11,0,3,0,1,1,0
p006-b4-t5,p006,b4,buy aquarius domo playing cards,12,11,0,3,0,1,1,0
p006-b4-t6,p006,b4,buy alessi alessi blow up citrus basket,12,9,1,3,2,0,1,0
p006-b4-t7,p006,b4,buy altaj spanish saffron tin 1 ounce,13,11,0,3,0,1,1,0
p006-b4-t8,p006,b4,buy tri tronics tri tronics expandable receiver,11,10,0,1,0,1,1,0
p006-b4-t9,p006,b4,buy tennis,13,11,0,2,2,0,1,1
p006-b5-t1,p006,b5,buy douglas labs zinc lozenges 100 lozenges,11,8,0,7,0,1,1,0
p006-b5-t10,p006,b5,buy lenovo lenovo 6 cell battery 888013102,13,12,1,0,1,0,2,0
p006-b5-t2,p006,b5,buy bargain wholesale halsa magnifiying mirror 10x,10,8,1,3,1,0,1,0
p006-b5-t3,p006,b5,buy nanuk nanuk 905 empty case black,16,12,0,4,2,0,1,0
p006-b5-t4,p006,b5,buy wix wix 24046 cabin air filter,14,11,0,3,2,0,1,0
p006-b5-t5,p006,b5,buy samsung evaporator thermal fuse,11,10,0,3,0,1,1,0
p006-b5-t6,p006,b5,buy ruffwear ruffwear turnup dog toy,15,11,1,4,2,0,1,0
p006-b5-t7,p006,b5,buy motorola s 10 bluetooth motoactiv head,12,10,1,3,2,0,0,0
p006-b5-t8,p006,b5,buy twinlab twinlab gaba plus 100 capsules,12,9,1,3,2,0,1,0
p006-b5-t9,p006,b5,buy bosch bosch 0281002435 air mass sensor,12,8,0,7,2,0,1,0
p006-b6-t1,p006,b6,buy xerox xerox 106r364 toner print cartridge,11,8,1,5,2,0,1,0
p006-b6-t10,p006,b6,buy twinlab ascorbate c 8 ounces,11,8,1,3,1,0,2,2
p006-b6-t2,p006,b6,buy wiipu paint zoom paint sprayer,14,12,1,2,1,0,1,0
p006-b6-t3,p006,b6,buy corolle corolle mini corolline coco doll,11,10,0,3,0,1,1,0
p006-b6-t4,p006,b6,buy jobst it stays adhesive each,12,10,1,0,2,0,1,0
p006-b6-t5,p006,b6,buy acdelco acdelco 214 5364 egr valve,12,9,1,3,1,0,1,0
p006-b6-t6,p006,b6,buy walker walker 55554 exhaust tail pipe,13,9,1,2,2,0,1,1
p006-b6-t7,p006,b6,buy kipling kipling luggage pract travel pouch,12,11,0,2,0,1,1,0
p006-b6-t8,p006,b6,buy mascagni cavalleria rusticana,14,12,0,1,2,0,1,0
p006-b6-t9,p006,b6,buy rosle rosle peeler,11,9,0,6,0,1,1,0
p007-b1-t1,p007,b1,buy solaray solaray vervain 360mg 100 capsules,14,11,0,6,2,0,3,0
p007-b1-t10,p007,b1,buy lexmarka inkcart 23 black,12,10,1,0,2,0,1,0
p007-b1-t2,p007,b1,buy alpine alpine pluggies kids swim earplugs,13,11,1,3,1,0,1,0
p007-b1-t3,p007,b1,buy garmin garmin foretrex 301 gps,10,10,0,0,0,1,1,0
p007-b1-t4,p007,b1,buy luminesce luminesce daily moisturizing complex,12,10,0,4,1,0,1,0
p007-b1-t5,p007,b1,buy smart planet dbf1 slider burger maker,10,8,0,3,0,1,1,0
p007-b1-t6,p007,b1,buy rolyn prest side pouch for wheelchairs,11,9,1,3,1,0,2,0
p007-b1-t7,p007,b1,buy purolator purolator a25594 classic air filter,13,10,0,6,2,0,1,0
p007-b1-t8,p007,b1,buy denso denso 6071 spark plug,14,10,1,3,1,0,1,0
p007-b1-t9,p007,b1,buy talika talika lipocils expert,12,11,1,1,1,0,1,0
p007-b2-t1,p007,b2,buy moog moog k8600 upper ball joint,11,10,0,4,1,0,1,0
p007-b2-t10,p007,b2,buy oki data sub roller assembly,11,11,0,1,0,1,1,0
p007-b2-t2,p007,b2,buy garmin garmin ique 3600 carrying case,11,9,1,2,1,0,1,0
p007-b2-t3,p007,b2,buy skinceuticals skinceuticals retinol 0 5,11,7,0,7,2,0,1,0
p007-b2-t4,p007,b2,buy tinnitus,12,11,1,1,1,0,1,0
p007-b2-t5,p007,b2,buy dentek dentek floss threaders 50 ct,12,9,1,3,1,0,1,0
p007-b2-t6,p007,b2,buy airtex air5g1016,6,4,1,3,1,0,1,0
p007-b2-t7,p007,b2,buy stant stant 10597 locking fuel cap,12,9,1,2,2,0,1,0
p007-b2-t9,p007,b2,buy creed creed aventus by creed,14,12,1,1,2,0,1,0
p007-b3-t1,p007,b3,buy bilstein febi 26235 headlight washer pump,11,10,0,7,0,1,1,0
p007-b3-t10,p007,b3,buy avon avon brightening concealer illuminating pearl,11,9,1,3,1,0,1,0
p007-b3-t2,p007,b3,buy keelguard keelguard xl scuffbuster bowguard,12,9,1,3,1,0,1,0
p007-b3-t3,p007,b3,buy darice bottle lamp kit with adapters,11,9,0,3,0,1,1,0
p007-b3-t4,p007,b3,buy moog moog es3491 tie rod end,14,11,0,6,2,0,1,0
p007-b3-t5,p007,b3,buy stonefly,10,8,0,7,1,0,1,0
p007-b3-t6,p007,b3,buy monroe monroe 72199 sensa trac strut,12,9,1,3,1,0,1,0
p007-b3-t7,p007,b3,buy disney the other side of heaven,12,12,0,0,0,1,1,0
p007-b3-t8,p007,b3,buy airex airex balance beam,12,9,1,4,2,0,1,1
p007-b3-t9,p007,b3,buy brembo brembo 25358 disc brake rotor,13,10,1,3,1,0,1,0
p007-b4-t1,p007,b4,buy delphi delphi fg0069 fuel pump module,12,8,1,3,1,0,1,0
p007-b4-t10,p007,b4,buy bosch bosch 67135 electric fuel pump,11,7,1,3,1,0,1,1
p007-b4-t2,p007,b4,buy dayco dayco 95294k2 timing belt kit,11,8,0,7,0,1,2,2
p007-b4-t3,p007,b4,buy mac lip care mac lipstick chili,12,11,1,2,1,0,2,0
p007-b4-t4,p007,b4,buy portmeirion portmeirion botanic garden storage jar,11,9,0,3,0,1,1,0
p007-b4-t5,p007,b4,buy coquette deluxe leg garter,10,9,0,3,0,1,1,0
p007-b4-t6,p007,b4,buy lexmark lexmark 200 black cartridge,14,12,0,4,1,0,1,0
p007-b4-t7,p007,b4,buy bosch bosch 280218063 air mass sensor,13,10,1,5,1,0,1,0
p007-b4-t8,p007,b4,buy denso denso sc20hr11 spark plug,13,10,1,3,1,0,1,1
p007-b4-t9,p007,b4,buy wilson wilson impact volleyball,10,9,0,3,0,1,1,0
p007-b5-t1,p007,b5,buy boiron thuja 200c boiron 80 pellet,13,9,1,3,2,0,1,0
p007-b5-t10,p007,b5,buy zelco itty bitty booklight ac adapter,10,9,0,3,0,1,1,0
p007-b5-t2,p007,b5,buy aphrodite cosmetics aphrodite facial cream,15,12,0,4,2,0,1,0
p007-b5-t3,p007,b5,buy zoggs zoggs easy fit silicone cap,11,9,1,3,1,0,1,0
p007-b5-t4,p007,b5,buy bolle bolle y6 otg snow goggles,13,12,1,4,1,0,1,0
p007-b5-t5,p007,b5,buy chrysler chrysler wheel center cap wx81pakae,11,8,0,3,0,1,1,0
p007-b5-t6,p007,b5,buy lee scrubber pad for glass aquariums,9,7,0,3,0,1,1,0
p007-b5-t7,p007,b5,buy ricoh ricoh 5510l toner cartridge 430452,11,7,0,6,2,0,1,0
p007-b5-t8,p007,b5,buy tyc tyc 700216 replacement blower assembly,13,10,1,4,2,0,1,0
p007-b5-t9,p007,b5,buy intex intex gator play center,15,13,1,2,2,0,1,0
p007-b6-t1,p007,b6,buy chieftain chieftain a whistle,12,9,1,2,2,0,1,0
p007-b6-t10,p007,b6,buy thermoskin thumb stabilizer beige size m,12,9,1,3,2,0,1,0
p007-b6-t3,p007,b6,buy essie essie nail color mink muffs,13,10,1,3,2,0,1,0
p007-b6-t4,p007,b6,buy styleguard black stick on door guards,12,9,1,3,2,0,1,0
p007-b6-t5,p007,b6,buy luk luk 02 028 clutch set,12,9,0,6,0,1,1,0
p007-b6-t6,p007,b6,buy timken timken 1380 front wheel bearing,11,10,0,7,0,1,2,0
p007-b6-t7,p007,b6,buy hareline ice dubbin,11,10,0,3,0,1,1,0
p007-b6-t8,p007,b6,buy dermalogica dermalogica active moist 3 5oz,12,8,1,4,2,0,1,0
p007-b6-t9,p007,b6,buy gates gates 21873 lower radiator hose,12,8,1,3,1,0,1,0
p008-b1-t1,p008,b1,buy mac pro mac pigment frozen white,11,8,1,3,2,0,1,1
p008-b1-t10,p008,b1,buy mattel barbie peppermint princess,12,10,0,3,0,1,1,0
p008-b1-t2,p008,b1,buy gates gates 38163 belt tensioner assembly,12,9,1,3,1,0,1,0
p008-b1-t3,p008,b1,buy airtex airtex e2485 electric fuel pump,11,7,1,3,1,0,1,0
p008-b1-t4,p008,b1,buy dell dell inspiron i660 3036bk desktop,13,10,1,4,2,0,1,1
p008-b1-t5,p008,b1,buy viewsonic viewsonic projector lamp rlc 003,14,12,0,1,2,0,1,0
p008-b1-t6,p008,b1,buy crabtree evelyn lavender bath shower gel,11,10,0,3,0,1,1,0
p008-b1-t7,p008,b1,buy ngk ngk 9039 he36 wire set,14,9,0,6,2,0,1,0
p008-b1-t9,p008,b1,buy rossignol rossignol x5 nnn xc boot,14,10,1,4,2,0,1,1
p008-b2-t1,p008,b2,buy talicor pocket ungame all ages version,12,12,0,2,0,1,1,0
p008-b2-t10,p008,b2,buy latin percussion lp aspire junior cajon,12,9,1,3,1,0,1,1
p008-b2-t2,p008,b2,buy koolatron bark free pro,12,11,0,3,0,1,1,0
p008-b2-t3,p008,b2,buy finis finis swimmer s snorkel,14,12,1,3,2,0,1,1
p008-b2-t4,p008,b2,buy denso denso 234 3109 oxygen sensor,11,9,0,7,1,0,1,0
p008-b2-t5,p008,b2,buy denso denso 234 4630 oxygen sensor,14,10,0,6,2,0,1,0
p008-b2-t6,p008,b2,buy denso denso 234 4154 oxygen sensor,13,9,1,5,2,0,1,1
p008-b2-t7,p008,b2,buy zebra tech 105sl printer,13,12,1,3,1,0,1,0
p008-b2-t8,p008,b2,buy plustek smart photo p60 photo scanner,10,8,0,3,0,1,1,0
p008-b2-t9,p008,b2,buy manitowoc ice machine filter cartridge,11,9,0,3,0,1,1,0
p008-b3-t1,p008,b3,buy walker walker 31602 exhaust gasket,13,9,1,3,1,0,1,0
p008-b3-t10,p008,b3,buy serengeti serengeti cosmopolitan giustina sunglasses,15,12,0,4,2,0,1,1
p008-b3-t2,p008,b3,buy cuno 3m cuno cfs8112 replacement cartridges,10,7,0,7,2,0,1,1
p008-b3-t3,p008,b3,buy blomus menoto towel stand,13,12,1,3,1,0,1,0
p008-b3-t4,p008,b3,buy ocuvite ocuvite eye multivitamins 60 count,12,9,0,6,2,0,1,0
p008-b3-t5,p008,b3,buy sika sikaflex 221,13,11,1,5,2,0,1,1
p008-b3-t6,p008,b3,buy 3m 3m super 77 adhesive spray,13,11,1,3,1,0,1,0
p008-b3-t7,p008,b3,buy schildkraut light up mirror magnifier,10,9,0,3,0,1,1,0
p008-b3-t8,p008,b3,buy american audio american audio vlp300 amplifier,12,9,1,3,1,0,1,0
p008-b3-t9,p008,b3,buy tyc tyc 700236 replacement blower assembly,11,8,0,6,1,0,1,0
p008-b4-t1,p008,b4,buy denso denso k20pr u11 spark plug,13,9,1,5,2,0,1,1
p008-b4-t10,p008,b4,buy dermalogica dermalogica barrier repair 1oz,11,9,1,1,1,0,1,1
p008-b4-t2,p008,b4,buy bosch bosch 96069 new water pump,12,9,1,3,1,0,1,0
p008-b4-t3,p008,b4,buy monroe monroe sc2961 magnum steering damper,11,9,1,3,1,0,1,0
p008-b4-t4,p008,b4,buy mann filter mann c35154 air filter,12,10,0,5,2,0,1,0
p008-b4-t5,p008,b4,buy warn warn 74756 winch motor,12,11,0,3,0,1,1,0
p008-b4-t6,p008,b4,buy filson filson large 30 duffle bag,12,10,0,3,0,1,1,0
p008-b4-t7,p008,b4,buy monroe monroe 71569 sensa trac strut,11,8,0,7,2,0,1,0
p008-b4-t8,p008,b4,buy timken timken 32010x wheel bearing,11,8,0,7,2,0,1,0
p008-b4-t9,p008,b4,buy dayco dayco wp244k1a timing belt kit,11,8,0,7,1,0,1,0
p008-b5-t1,p008,b5,buy bosch bosch 72267ws workshop oil filter,11,8,1,3,1,0,1,0
p008-b5-t10,p008,b5,buy abus high security diskus padlock silver,12,9,1,3,1,0,1,1
p008-b5-t2,p008,b5,buy avon avon glow bronzing gel medium,11,8,0,3,0,1,1,0
p008-b5-t3,p008,b5,buy blomus blomus kleenex box,12,9,1,3,1,0,1,0
p008-b5-t4,p008,b5,buy bosch bosch 0261230090 boost pressure sensor,12,9,1,3,1,0,1,0
